valeur_reelle,prediction,erreur,erreur_pourcentage
447829.0,441144.19,6684.809999999998,1.492714853214061
425110.0,455199.15,-30089.150000000023,-7.0779680553268625
375833.0,394502.01,-18669.01000000001,-4.967368485470943
403299.0,458128.36,-54829.359999999986,-13.595213476849679
389183.0,386384.27,2798.7299999999814,0.7191295611575997
339132.0,397150.49,-58018.48999999999,-17.10793732234056
443925.0,442559.08,1365.9199999999837,0.3076916145745303
499508.0,510007.42,-10499.419999999984,-2.1019523210839433
590779.0,493262.04,97516.96000000002,16.506504124215656
448929.0,444376.93,4552.070000000007,1.0139843939687583
601958.0,525220.39,76737.60999999999,12.748000691078113
416086.0,426083.03,-9997.030000000028,-2.4026355128507157
415056.0,424620.6,-9564.599999999977,-2.304411934775061
535326.0,492526.41,42799.590000000026,7.995051613409404
370782.0,382718.58,-11936.580000000016,-3.2192986714565475
386246.0,396183.41,-9937.409999999974,-2.572818877088688
410937.0,434472.06,-23535.059999999998,-5.727169858153439
425567.0,395011.41,30555.590000000026,7.179971661336529
394931.0,386822.7,8108.299999999988,2.05309281874555
484244.0,496177.12,-11933.119999999995,-2.464278339019171
393754.0,413527.03,-19773.030000000028,-5.021670890962385
471067.0,466362.96,4704.039999999979,0.998592556897422
476111.0,351167.29,124943.71000000002,26.242558983094284
389011.0,442337.98,-53326.97999999998,-13.708347578860232
380882.0,389550.25,-8668.25,-2.2758360857168363
441659.0,458146.08,-16487.080000000016,-3.7329885726318306
462239.0,454453.72,7785.280000000028,1.6842542494250872
453577.0,452943.37,633.6300000000047,0.13969623680213164
434500.0,429739.2,4760.799999999988,1.0956962025316428
447803.0,420492.79,27310.21000000002,6.098710817033388
457457.0,452791.46,4665.539999999979,1.0198860220742014
393620.0,443268.46,-49648.46000000002,-12.613297088562577
366491.0,409109.63,-42618.630000000005,-11.628833995923502
427203.0,396021.8,31181.20000000001,7.298918781001072
339856.0,392418.39,-52562.390000000014,-15.466076809001464
401411.0,409117.17,-7706.169999999984,-1.9197705095276372
513685.0,505228.25,8456.75,1.646291014921596
375553.0,414182.87,-38629.869999999995,-10.2861300535477
408448.0,416169.26,-7721.260000000009,-1.8903899639611432
440052.0,433757.5,6294.5,1.4303991346477234
389570.0,407490.45,-17920.45000000001,-4.60005903945376
412335.0,466887.62,-54552.619999999995,-13.23016964361502
420663.0,438543.28,-17880.280000000028,-4.250499806258222
357667.0,380833.81,-23166.809999999998,-6.477200860017837
509406.0,506907.03,2498.969999999972,0.4905654821497925
398914.0,414410.78,-15496.780000000028,-3.8847420747329067
389504.0,401937.24,-12433.23999999999,-3.1920699145579996
431703.0,456422.17,-24719.169999999984,-5.725966694695192
406427.0,400968.5,5458.5,1.3430456145876135
519749.0,464875.02,54873.97999999998,10.557784622962235
390027.0,390517.05,-490.04999999998836,-0.1256451476436217
398628.0,419987.2,-21359.20000000001,-5.358178552434854
491397.0,467441.65,23955.349999999977,4.874948361508104
437196.0,427422.86,9773.140000000014,2.235413864719717
450427.0,450593.7,-166.70000000001164,-0.03700932670555088
423235.0,408769.76,14465.23999999999,3.4177797204862523
385982.0,385840.99,141.0100000000093,0.03653279168458874
383193.0,381688.1,1504.9000000000233,0.39272638070111493
471465.0,400298.11,71166.89000000001,15.094840550199912
505613.0,514550.55,-8937.549999999988,-1.7676661794692756
457443.0,454727.83,2715.1699999999837,0.5935537323775822
601925.0,524191.89,77733.10999999999,12.914085641898906
520277.0,427552.97,92724.03000000003,17.822050561527806
557470.0,490182.3,67287.70000000001,12.070192117961506
568623.0,488826.09,79796.90999999997,14.033359536986717
513981.0,462607.91,51373.090000000026,9.995134061375815
361581.0,355511.38,6069.619999999995,1.678633556519838
432453.0,402226.3,30226.70000000001,6.9895919325337115
484813.0,505695.63,-20882.630000000005,-4.30735768224037
430079.0,437580.07,-7501.070000000007,-1.7441144533911226
413441.0,414517.77,-1076.7700000000186,-0.26044103028002025
421235.0,412740.68,8494.320000000007,2.016527591486939
487567.0,405241.43,82325.57,16.884975808452992
378102.0,448001.43,-69899.43,-18.486924163321007
440043.0,415956.73,24086.27000000002,5.473617351031608
375585.0,369495.19,6089.809999999998,1.6214199182608457
500866.0,528626.1,-27760.099999999977,-5.5424205276461125
411659.0,409320.92,2338.0800000000163,0.5679652333606252
512879.0,482346.91,30532.090000000026,5.953078601385517
547318.0,466533.34,80784.65999999997,14.760095593421005
343162.0,363180.99,-20018.98999999999,-5.833684965118513
517810.0,495333.02,22476.97999999998,4.340777505262544
395074.0,438526.29,-43452.28999999998,-10.998519264745333
450346.0,489275.06,-38929.06,-8.644255750023316
378269.0,389048.77,-10779.770000000019,-2.8497629993470306
466881.0,504472.27,-37591.27000000002,-8.051574169863416
472230.0,520344.82,-48114.82000000001,-10.18885288948182
410231.0,409920.04,310.96000000002095,0.07580119493651649
567133.0,495471.84,71661.15999999997,12.635688630356542
